Vehicle_ID,Margin,Time,X,Y,Z
L1,3.0,237.0,100.0,55.0,10.0
L1,3.0,237.2,100.0,55.0,10.0
L1,3.0,237.4,100.0,55.0,10.0
L1,3.0,237.6,100.0,55.0,10.0
L1,3.0,237.8,100.0,55.0,10.0
L1,3.0,238.0,100.0,55.0,10.0
L1,3.0,238.2,100.0,55.0,10.0
L1,3.0,238.4,100.0,55.0,10.0
L1,3.0,238.6,100.0,55.0,10.0
L1,3.0,238.8,100.0,55.0,10.0
L1,3.0,239.0,100.0,55.0,10.0
L1,3.0,239.2,100.0,55.0,10.0
L1,3.0,239.4,100.0,55.0,10.0
L1,3.0,239.6,100.0,55.0,10.0
L1,3.0,239.8,100.0,55.0,10.0
L1,3.0,240.0,100.0,55.0,10.0
L1,3.0,240.2,100.0,55.0,10.0
L1,3.0,240.4,100.0,55.0,10.0
L1,3.0,240.6,100.0,55.0,10.0
L1,3.0,240.8,100.0,55.0,10.0
L1,3.0,241.0,100.0,55.0,10.0
L1,3.0,241.2,100.0,55.0,10.0
L1,3.0,241.4,100.0,55.0,10.0
L1,3.0,241.6,100.0,55.0,10.0
L1,3.0,241.8,100.0,55.0,10.0
L1,3.0,242.0,100.0,55.0,10.0
L1,3.0,242.2,100.0,55.0,10.0
L1,3.0,242.4,100.0,55.0,10.0
L1,3.0,242.6,100.0,55.0,10.0
L1,3.0,242.8,100.0,55.0,10.0
L1,3.0,243.0,100.0,55.0,10.0
L1,3.0,243.2,100.0,55.0,10.0
L1,3.0,243.4,100.0,55.0,10.0
L1,3.0,243.6,100.0,55.0,10.0
L1,3.0,243.8,100.0,55.0,10.0
L1,3.0,244.0,100.0,55.0,10.0
L1,3.0,244.2,100.0,55.0,10.0
L1,3.0,244.4,100.0,55.0,10.0
L1,3.0,244.6,100.0,55.0,10.0
L1,3.0,244.8,100.0,55.0,10.0
L1,3.0,245.0,100.0,55.0,10.0
L1,3.0,245.2,100.0,55.0,10.0
L1,3.0,245.4,100.0,55.0,10.0
L1,3.0,245.6,100.0,55.0,10.0
L1,3.0,245.8,100.0,55.0,10.0
L1,3.0,246.0,100.0,55.0,10.0
L1,3.0,246.2,100.0,55.0,10.0
L1,3.0,246.4,100.0,55.0,10.0
L1,3.0,246.6,100.0,55.0,10.0
L1,3.0,246.8,100.0,55.0,10.0
L1,3.0,247.0,100.0,55.0,10.0
L1,3.0,247.2,100.0,55.0,10.0
L1,3.0,247.4,100.0,55.0,10.0
L1,3.0,247.6,100.0,55.0,10.0
L1,3.0,247.8,100.0,55.0,10.0
L1,3.0,248.0,100.0,55.0,10.0
L1,3.0,248.2,100.0,55.0,10.0
L1,3.0,248.4,100.0,55.0,10.0
L1,3.0,248.6,100.0,55.0,10.0
L1,3.0,248.8,100.0,55.0,10.0
L1,3.0,249.0,100.0,55.0,10.0
L1,3.0,249.2,100.0,55.0,10.0
L1,3.0,249.4,100.0,55.0,10.0
L1,3.0,249.6,100.0,55.0,10.0
L1,3.0,249.8,100.0,55.0,10.0
L1,3.0,250.0,100.0,55.0,10.0
L1,3.0,250.2,100.0,55.0,10.0
L2,3.0,0.0,0.0,45.0,10.0
L2,3.0,1.6,1.9,45.0,9.37
L2,3.0,1.8,3.0,45.0,9.0
L2,3.0,2.0,5.0,45.0,9.0
L2,3.0,2.2,6.0,45.0,9.0
L2,3.0,2.4,8.0,45.0,9.0
L2,3.0,2.6,9.0,45.0,9.0
L2,3.0,2.8,11.0,45.0,9.0
L2,3.0,3.0,12.0,45.0,9.0
L2,3.0,3.2,14.0,45.0,9.0
L2,3.0,3.4,15.0,45.0,9.0
L2,3.0,3.6,17.0,45.0,9.0
L2,3.0,3.8,18.0,45.0,9.0
L2,3.0,4.0,20.0,45.0,9.0
L2,3.0,4.2,21.0,45.0,9.0
