Vehicle_ID,Margin,Time,X,Y,Z
HEAD_A,5.0,65.8,100.0,50.0,10.0
HEAD_A,5.0,66.0,100.0,50.0,10.0
HEAD_A,5.0,66.2,100.0,50.0,10.0
HEAD_A,5.0,66.4,100.0,50.0,10.0
HEAD_A,5.0,66.6,100.0,50.0,10.0
HEAD_A,5.0,66.8,100.0,50.0,10.0
HEAD_A,5.0,67.0,100.0,50.0,10.0
HEAD_A,5.0,67.2,100.0,50.0,10.0
HEAD_A,5.0,67.4,100.0,50.0,10.0
HEAD_A,5.0,67.6,100.0,50.0,10.0
HEAD_A,5.0,67.8,100.0,50.0,10.0
HEAD_A,5.0,68.0,100.0,50.0,10.0
HEAD_A,5.0,68.2,100.0,50.0,10.0
HEAD_A,5.0,68.4,100.0,50.0,10.0
HEAD_A,5.0,68.6,100.0,50.0,10.0
HEAD_A,5.0,68.8,100.0,50.0,10.0
HEAD_A,5.0,69.0,100.0,50.0,10.0
HEAD_A,5.0,69.2,100.0,50.0,10.0
HEAD_A,5.0,69.4,100.0,50.0,10.0
HEAD_A,5.0,69.6,100.0,50.0,10.0
HEAD_A,5.0,69.8,100.0,50.0,10.0
HEAD_A,5.0,70.0,100.0,50.0,10.0
HEAD_A,5.0,70.2,100.0,50.0,10.0
HEAD_A,5.0,70.4,100.0,50.0,10.0
HEAD_A,5.0,70.6,100.0,50.0,10.0
HEAD_A,5.0,70.8,100.0,50.0,10.0
HEAD_A,5.0,71.0,100.0,50.0,10.0
HEAD_A,5.0,71.2,100.0,50.0,10.0
HEAD_A,5.0,71.4,100.0,50.0,10.0
HEAD_A,5.0,71.6,100.0,50.0,10.0
HEAD_A,5.0,71.8,100.0,50.0,10.0
HEAD_A,5.0,72.0,100.0,50.0,10.0
HEAD_A,5.0,72.2,100.0,50.0,10.0
HEAD_A,5.0,72.4,100.0,50.0,10.0
HEAD_A,5.0,72.6,100.0,50.0,10.0
HEAD_A,5.0,72.8,100.0,50.0,10.0
HEAD_A,5.0,73.0,100.0,50.0,10.0
HEAD_A,5.0,73.2,100.0,50.0,10.0
HEAD_A,5.0,73.4,100.0,50.0,10.0
HEAD_A,5.0,73.6,100.0,50.0,10.0
HEAD_A,5.0,73.8,100.0,50.0,10.0
HEAD_A,5.0,74.0,100.0,50.0,10.0
HEAD_A,5.0,74.2,100.0,50.0,10.0
HEAD_A,5.0,74.4,100.0,50.0,10.0
HEAD_A,5.0,74.6,100.0,50.0,10.0
HEAD_A,5.0,74.8,100.0,50.0,10.0
HEAD_A,5.0,75.0,100.0,50.0,10.0
HEAD_A,5.0,75.2,100.0,50.0,10.0
HEAD_A,5.0,75.4,100.0,50.0,10.0
HEAD_A,5.0,75.6,100.0,50.0,10.0
HEAD_A,5.0,75.8,100.0,50.0,10.0
HEAD_A,5.0,76.0,100.0,50.0,10.0
HEAD_A,5.0,76.2,100.0,50.0,10.0
HEAD_A,5.0,76.4,100.0,50.0,10.0
HEAD_A,5.0,76.6,100.0,50.0,10.0
HEAD_A,5.0,76.8,100.0,50.0,10.0
HEAD_A,5.0,77.0,100.0,50.0,10.0
HEAD_A,5.0,77.2,100.0,50.0,10.0
HEAD_A,5.0,77.4,100.0,50.0,10.0
HEAD_A,5.0,77.6,100.0,50.0,10.0
HEAD_A,5.0,77.8,100.0,50.0,10.0
HEAD_A,5.0,78.0,100.0,50.0,10.0
HEAD_A,5.0,78.2,100.0,50.0,10.0
HEAD_A,5.0,78.4,100.0,50.0,10.0
HEAD_A,5.0,78.6,100.0,50.0,10.0
HEAD_A,5.0,78.8,100.0,50.0,10.0
HEAD_A,5.0,79.0,100.0,50.0,10.0
HEAD_A,5.0,79.2,100.0,50.0,10.0
HEAD_A,5.0,79.4,100.0,50.0,10.0
